,title,text,subject,date
10,"Holding keys to debt limit, Democrats weigh tax demands","WASHINGTON (Reuters) - Democrats in the U.S. Congress wield little clout nowadays, but they will likely have plenty of influence on the looming issue of the U.S. debt ceiling and party leaders are considering whether they should try to convert that advantage into bargaining power on tax reform. Even though they control the White House and both chambers of Congress, Republicans are again divided among themselves as pressing fiscal issues rattle financial markets and test President Donald Trump’s ability to keep the country’s accounts in order. The debt ceiling is a legal cap on how much money the federal government can borrow to fund its budget deficits and meet debt obligations. Failure to meet payments could lead to a default and a downgrade in America’s credit rating, with the potential to trigger global financial shockwaves. Speaking to reporters at the White House on Friday, U.S. Treasury Secretary Steven Mnuchin said he was “100 percent confident” that the debt ceiling would be raised in September. “There is no scenario where the government won’t be paying its bills,” Mnuchin said. Action is needed to raise the debt ceiling by Sept. 29, the administration has warned, although some fiscal experts say the deadline may actually be mid-October. The Trump administration wants Congress to pass a “clean” increase, without extraneous political measures attached. But, reflecting long divisions in the party over fiscal policy, many conservative Republicans have said they will not  vote for a debt-limit bill that does not also contain promises of federal spending cuts. So, analysts say, Trump and Republican leaders will need the votes of Democrats, who generally favor a clean bill, to raise the debt limit and avoid a default. Armed with this edge, Democrats are considering using the debt debate to press Republicans for bipartisan tax reform, said Democratic Senate aides, which would inject new uncertainty into the debt limit issue. Overhauling the tax code is a top priority for Trump and his fellow Republicans, but they have made little progress since the president took office in January. Their behind-closed-doors planning process so far on tax reform has ignored the Democrats. Senate Democratic leader Chuck Schumer and House of Representatives Democratic leader Nancy Pelosi are skeptical about supporting a debt ceiling increase while Republicans pursue tax cuts that Democrats say would cause the federal deficit to balloon. “We’re telling Republicans that if it is their intention to use that debt limit increase to allow for tax cuts for the wealthy, that they are going to have a harder time getting Democratic votes,” said a Senate Democratic aide. Senate Democrats offered earlier this month to move forward with bipartisan legislation on taxes, on condition that changes do not add to the deficit or benefit the wealthy. For now, Senate and House Democrats are watching  Republicans and the Trump administration wrangle over the debt ceiling, with no clear plan yet in sight. Senate Majority Leader Mitch McConnell and House Speaker Paul Ryan have not said if they want a clean bill. Ryan said on Thursday that Congress will pass legislation to raise the federal debt ceiling, noting that lawmakers have several options. McConnell has said the debt ceiling will be raised, a spokesman said on Thursday. Pelosi spokesman Drew Hammill said in an email: “Leader Pelosi has expressed support for a clean debt ceiling hike, but has also echoed the concerns that many House Democrats have about supporting such a move while Republicans simultaneously blow a multi-trillion dollar hole in the deficit with tax cuts for millionaires and billionaires.” Given the stakes, Schumer and Pelosi would face a daunting task in holding their parties’ lawmakers together if they want to squeeze concessions out of Republicans with the country on the brink of a potential default. Some Democrats are skeptical such a strategy could work. “We ought to get the debt ceiling done. It’s a bad precedent to try to use the debt ceiling for leverage for other political objectives,” said Representative John Yarmuth, the top Democrat on the House Budget Committee. Federal Reserve Governor Jerome Powell expressed concern on Friday about the possibility of the debt ceiling not being raised.  “If the debt ceiling were not to be raised, the United States would not be able to pay all of its bills. That’s never happened before; it would be unprecedented and that could be a major shock to the economy,” Powell said in an interview with CNBC during a conference in Jackson Hole, Wyoming. Democrats have been talking about using the debt ceiling as a lever against Republican tax reform since June and laid out their conditions for working together on tax legislation in an Aug. 1 letter to Trump and Republican leaders. McConnell flatly rejected the idea of broad bipartisanship. But it could be the only way forward on taxes if Republicans cannot agree on a budget resolution for fiscal 2018. That is needed to unlock a legislative provision that would allow them to pass a tax bill in the Senate, where Republicans have only a slim majority, without Democratic support.     ",politicsNews,"August 25, 2017 "
11,"Timeline: From TVs to microwaves, White House tries to explain wiretapping charge","WASHINGTON (Reuters) - The White House on Friday distanced itself from a news report it  embraced a day earlier that Britain’s top-secret eavesdropping agency monitored Trump Tower at former U.S. President Barack Obama’s behest. The White House had cited the report by a Fox News analyst as it sought to defend President Donald Trump’s charge that Obama’s administration wiretapped him during the 2016 election. Over the past two weeks, Trump and his aides have pressed the claim in numerous ways, including suggestions that Trump may have been monitored through microwaves and television sets. The White House has provided no proof to support Trump’s allegation and the heads of U.S. House and Senate intelligence panels, including from Trump’s Republican Party, have rejected it.  Here is a chronology of the administration’s assertions: MARCH 4: In a series of early morning tweets, Trump accuses Obama of having his wires tapped and calls him a “bad (or sick) guy.” Trump spokesman Sean Spicer says the White House’s top lawyer was examining options for pursuing the claim. MARCH 5: The White House cites reports of potentially politically motivated investigations, and says Trump wanted the congressional intelligence committees to examine whether executive branch investigative powers were abused in 2016. MARCH 6: Spicer suggests monitoring may have been broader than a wire tap, might have been conducted under a secret foreign intelligence eavesdropping warrant and that “there is substantial reporting out there from individuals and from sources” that such surveillance occurred. MARCH 7: Spicer says while there is no new proof of Trump’s allegation, the president has absolutely no regrets about his tweets and that he was “not walking anything back or regretting.” MARCH 12: Senior White House adviser Kellyanne Conway suggests in an interview with the Bergen County Record newspaper that the monitoring may have been conducted through television sets or “microwaves that turn into cameras.” MARCH 13: Conway says her comments the previous day were misconstrued but continues to air the allegation about the president and wiretapping at Trump Tower. Spicer says Trump’s charges were based on reporting by a number of news organizations, including Fox, the BBC and the New York Times. Trump’s use of the word “wiretapping ... spans a whole host of surveillance types of options,” Spicer says. MARCH 14: Spicer says Trump is extremely confident the Justice Department would find evidence proving his allegation. MARCH 15: Republican and Democratic leaders of the House Intelligence Committee say they have seen no evidence of wiretapping. The White House defends Trump’s allegation, and Trump says in a Fox News interview that, “We will be submitting things before the committee very soon that hasn’t been submitted as of yet. But it’s potentially a very serious situation.” MARCH 16: The Republican and Democratic leaders of the Senate Intelligence Committee, and House Speaker Paul Ryan, separately say there is no proof of Trump’s charge. Spicer says there is no question that surveillance techniques were used. He cites a litany of news reports to justify the allegation. They include an assertion by a Fox News analyst, former New Jersey Judge Andrew Napolitano, that he had been told by unidentified intelligence officials that Obama obtained transcripts of Trump’s conversations from Government Communications Headquarters, or GCHQ, the British agency that monitors overseas communications. MARCH 17: The administration backs away from the Fox News report after the British government said it was assured by the White House that it would not repeat Napolitano’s allegation, dubbed “nonsense” by a GCHQ spokesman. “Mr. Spicer was simply pointing to public reports, not endorsing any specific story,” said a White House official.      ",politicsNews,"March 17, 2017 "
12,European leaders and Obama to discuss Russia sanctions in Berlin: sources,"BERLIN (Reuters) - European leaders and President Barack Obama on Friday will discuss extending sanctions imposed on Russia for its intervention in Ukraine, and possible new sanctions for its bombing in Syria, sources familiar with the plans said. The meeting in Berlin, hosted by German Chancellor Angela Merkel and including the leaders of Britain, France, Italy and Spain, comes a little over a week after Donald Trump’s victory in the U.S. presidential election. Trump has indicated that he will seek a rapprochement with Russia, raising doubts in Europe about the future of the sanctions regime introduced by Washington and Brussels in 2014 following Russia’s intervention in eastern Ukraine. A German official said the plan was to agree a rollover of EU sanctions against Russia, which are due to expire at the end of January, in the coming weeks. There is concern that Trump might move in the opposite direction after his inauguration on Jan. 20. European leaders will therefore be seeking clarity from Obama, who met Trump last week and said afterwards the president-elect would maintain core relationships around the world, including with NATO. Obama arrived in Berlin on Wednesday evening after visiting Greece.  “We’re in a really critical situation,” said the German official. “We have to prevent a situation where the EU rolls over the sanctions and then the new U.S. president comes in and lifts them.” Obama and Merkel are expected to hold talks on Thursday followed by a news conference at which they will raise the issue of Syria, a source said. European officials fear that Russia will use the time before Trump’s inauguration to launch new offensives in Syria and Ukraine. Two diplomatic sources said the issue of Syria would also come up at the Friday meeting. “Syria will definitely be on the agenda,” said one, citing coordinated Russian missile strikes against rebels in Syria launched on Tuesday from an aircraft carrier in the Mediterranean. The Kremlin has said it is maintaining a moratorium on air strikes in the city of Aleppo. European Union leaders last month condemned Russia for its bombing of civilians in Aleppo and signaled that they could introduce new sanctions for its actions there if the bombing continued. The Syrian opposition has been pressing Western countries to expand sanctions to include some Russian firms that are supplying weapons and bank notes to Syria. Syrian opposition leaders are due to meet with EU leaders, including EU foreign policy chief Federica Mogherini, in Brussels on Friday. Another source said European leaders were keen to send a signal to Trump, making it more difficult for him to reverse U.S. policy and cosy up to Russia. ",politicsNews,"November 16, 2016 "
13,"Trump asks team to trim back transition efforts, focus on race: sources","NEW YORK (Reuters) - Trailing in opinion polls, Republican presidential nominee Donald Trump has asked his campaign to cut back on work identifying candidates for key jobs in his would-be administration and focus instead on bolstering his chances on Election Day, according to two people familiar with the campaign’s inner workings. After months of bitter battling, Trump’s Democratic rival, Hillary Clinton, has a commanding lead in the race to win the Electoral College and claim the U.S. presidency on Nov. 8, according to the latest Reuters/Ipsos States of the Nation project results released on Saturday, which mirror other national polls.  People working on Trump’s White House transition, which is led by New Jersey Governor Chris Christie, have been asked by Trump to narrow down those efforts and refocus on the race, the sources, who asked not to be identified, said Tuesday. They have, as a result, largely set aside efforts to identify candidates for key Cabinet positions, but are continuing work to fill lower-level jobs, such as Securities and Exchange Commission general counsel, that would allow Trump to begin basic work on his agenda if he won on Nov. 8, without worrying about winning political battles first. Members of the transition team are also avoiding providing Trump with updates on the transition work to allow him and the campaign to focus the core of its efforts on improving his chances of winning the election, the sources said. Trump spokeswoman Hope Hicks did not immediately respond to a request for comment. The sources did not say when Trump asked his campaign to reduce its transition work. But one of the two sources said that Christie has spent twice as much time helping Trump prepare for the three presidential debates, which occurred between Sept. 26 and Oct. 19, as he had on the transition work. A spokesman for Christie declined to comment. A third source familiar with the campaign, who also asked not to be named, said a senior Trump official has been contacting Wall Street tycoons and other wealthy Republicans for recommendations on lower-level positions.  That source said the Trump team has opened up its hiring search far beyond his core group of supporters and is even willing to consider people who have criticized the brash New York businessman. ",politicsNews,"October 25, 2016 "
14,"Biden warns Ukraine on reforms, says EU sanctions on Russia at risk","(Reuters) - U.S. Vice President Joe Biden on Wednesday warned Ukraine needs to live up to its promises economic and political reforms or risk seeing the European Union walk away from its sanctions on Russia. “We know that if they give an excuse to the EU, there are at least five countries right now that want to say ‘We want out’” of sanctions against Moscow, Biden said, speaking to the Council on Foreign Relations in New York. Europe imposed sanctions after Russia annexed Ukraine’s Crimea peninsula in 2014. Fighting has continued in the east of the country, despite the so-called Minsk ceasefire agreement, and Western powers fear peace efforts could unravel. In exchange for financial support from the United States and other Western allies, Ukraine promised reforms, but progress has been mixed. Biden’s comments came a day after he met with Ukrainian President Petro Poroshenko at the United Nations, pushing on reforms in Ukraine’s energy and justice sectors, while saying conditions had been met for a third U.S. sovereign loan guarantee of up to $1 billion. Biden said he has spent two to three hours a week on the phone with Ukrainian leaders since the crisis began, urging them to persist with reforms, while also pressuring Germany, France and Italy to hold fast on sanctions. “There’s an overwhelming instinct in Europe to say, ‘Hey: before [Poroshenko] became president, this was owned by Russia anyway. They had a puppet there. What difference does it make? What the hell’s the difference? Why are you making us engage in these sanctions?’” Biden said. Noting a crisis of “self-doubt” in Europe caused by the United Kingdom’s referendum decision to leave the bloc and the Syrian migration crisis, Biden said he has warned Poroshenko to make sure that the failure of the Minsk deal is not blamed on Ukraine. “I’ve been the guy on the back of Ukrainians - which was a thoroughly corrupt system when they came in - making the case that, ‘You have to understand: everybody’s willing to blame the victim, and you better straighten up and fly right,’” Biden said. ",politicsNews,"September 22, 2016 "
15,Philippine leader says 'no way' he'll do deal with Islamist rebels,"MANILA (Reuters) - Philippine President Rodrigo Duterte on Saturday ruled out the possibility of allowing Islamic State-linked militants to flee a southern city in exchange for the release of dozens of hostages. The militants seized large parts of Marawi City on the island of Mindanao in May, and a hardcore of fighters has held out through more than 100 days of air strikes and ground attacks  by troops.  No way,  Duterte told reporters when asked about a rumor that one rebel leader, Omarkhayam Maute, had proposed releasing hostages in exchange for the safe exit of the militants. Pockets of fighters remain in the ruins of the heart of a city devastated by artillery and bombings, in an occupation that has alarmed the region about the possibility of Islamic State, on the back foot in Iraq and Syria, making a new home in the southern Philippines.  The military has launched its final push to retake Marawi, and is coming under heavy fire from gunmen as troops try to secure buildings and navigate through mines and booby-traps. The military estimates about 20 to 30 hostages are being held, some of whom it says were forced to take up arms against government troops.  If I can save one life there, I am willing to wait one year (to retake the city)  Duterte said of the hostages, after visiting wounded soldiers in Cagayan de Oro, a few hours away from Marawi. Martial law has been imposed in Mindanao, an island of 22 million people, until the end of the year, to allow the military to break up an alliance of pro-Islamic State militant groups. On another front, the military is also fighting communist rebels of the New People s Army following a breakdown in peace talks with the government. Duterte on Saturday threatened to expand martial law to other areas of the Philippines to crack down on the insurgents. Some 655 militants, 45 civilians and 145 soldiers and policemen have been killed in Marawi, according to the military, which says it has rescued 1,728 civilians. At least 400,000 have been displaced. Army spokesman Colonal Edgard Arevalo said saving hostages was the priority of the military s mission.  We are still very mindful of the presence of civilians -guns against their heads - who were made human shields or ordered to wield firearms and ammunition, were converted to become fighters and shoot at our troops,  he said in a statement. The United States has provided technical support to the Philippines military in Marawi. Visiting Manila on Friday, Australian Defence Minister Marise Payne offered a small  detachment of soldiers to provide training to Philippine forces. ",worldnews,"September 9, 2017 "
16,Senator Paul suffers five broken ribs after assault: reports,"(Reuters) - U.S. Senator Rand Paul’s return to Washington may be delayed after he suffered five broken ribs during an assault at his Kentucky home, media reported on Sunday, citing a senior adviser to the Republican lawmaker. Paul’s neighbor, Rene Boucher, has been charged with one count of fourth-degree assault causing minor injury in connection with the incident on Friday, according to authorities. Boucher, 59, was released on bond.   “Senator Paul has five rib fractures including three displaced fractures. This type of injury is caused by high velocity severe force,” Doug Stafford, a senior adviser to Paul, said in a statement, according to multiple media reports.  “It is not clear exactly how soon he will return to work, as the pain is considerable as is the difficulty in getting around, including flying,” the reports quoted Stafford as saying. He added that the senator’s type of injury could lead to life-threatening injuries. Paul, 54, also has lung contusions, Stafford said in the statement, according to the reports. The Bowling Green Daily News, citing an arrest warrant, said Paul told police his neighbor came on to his property in a gated community just east of Bowling Green and tackled him from behind. Paul had injuries to the face and trouble breathing because of a rib injury, the newspaper said. It was not clear what motivated the altercation and Paul did not go to the hospital, police said. Paul was mowing his lawn at the time of the attack, television station WAVE-TV in Kentucky reported. “Kelley and I appreciate the overwhelming support after Friday’s unfortunate event. Thank you for your thoughts and prayers,” Paul said on Twitter on Sunday morning, referring to his wife. A man who answered Boucher’s phone on Sunday, when a Reuters reporter asked to speak with him, said: “I’m sorry. I can’t talk.” Kentucky State Police said on Saturday that Paul and Boucher were acquaintances. The suspect is a retired physician, the Bowling Green Daily News said.  The New York Daily News reported that a Facebook page for Boucher contained numerous postings critical of Republican President Donald Trump. Paul, an ophthalmologist, ran for the Republican presidential nomination before dropping out of the race in February 2016. ",politicsNews,"November 5, 2017 "
17,Modi says India shares Myanmar's concern about 'extremist violence',"NAYPYITAW (Reuters) - Prime Minister Narendra Modi said on Wednesday that India shared Myanmar s concern about  extremist violence  in its Rakhine state, where a security force operation against Muslim rebels has sent about 125,000 people fleeing to Bangladesh. Modi spoke after talks with Myanmar s de facto leader Aung San Suu Kyi during a visit aimed at expanding commercial ties as part of an  Act East  policy, and pushing back against Chinese influence.  Myanmar has come under international pressure after some 125,000 Rohingya Muslims fled from a surge of violence in Rakhine state, beginning with an Aug. 25 attack by Rohingya insurgents on dozens of police posts and an army base. The rebel attacks triggered a sweep by the Myanmar security forces, in which refugees and right groups say many innocent Rohingya have been targeted. Buddhist-majority Myanmar rejects accusations by refugees and rights groups that its armed forces have violated the rights of the mostly stateless Rohingya, saying the army and police are fighting  terrorists . Mostly Hindu India has faced years of attacks by Islamist militants.  Suu Kyi told a joint news conference at the presidential palace in the capital, Naypyitaw, that Myanmar was grateful for India s stance on the attack on her country and they could work together to face the challenge.  We would like to thank India particularly for its strong that it has taken with regard to terrorist threat that came to our country a couple of weeks ago,  she said in brief remarks.  We believe that together we can work to make sure that terrorism is not allowed to take root on our soil.  Modi said India and Myanmar had similar security interests in the region.    We share your concerns about extremist violence in Rakhine state and specially the violence against security forces and how innocent lives have been affected,  he said.    We hope that all the stakeholders together can find a way out in which the unity and territorial integrity of Myanmar is respected and at the same time we can have peace, justice dignity and democratic values for all.  Modi s government has taken a strong stance on an influx into India of some 40,000 Rohingya from Myanmar over the years, vowing last month to deport them all. That decision has drawn criticism from rights groups and prompted a petition in the Supreme Court to stop the government from doing so.         International concern, in particular from Muslim countries, is growing about the latest exodus of Rohingya. Turkish President Tayyip Erdogan has pressed world leaders to do more to help the population of roughly 1.1 million, saying they are facing genocide. U.N. Secretary-General Antonio Guterres warned on Tuesday of the risk of ethnic cleansing and regional destabilization. India is trying to boost economic ties with resource-rich Myanmar, with which it shares a 1,600-km (1,000-mile) border, to counter Chinese influence and step up links with a country it considers its gateway to Southeast Asia. Two-way trade has grown to about $2.2 billion as India courts Myanmar following the gradual end of military rule, but Indian-funded projects have moved slowly. India recently started exporting diesel to Myanmar via a land route, in a boost to Modi s pledge to enhance hydrocarbon trade with neighbors.. ",worldnews,"September 6, 2017 "
18,German parties fret about Turkish voters as Erdogan makes mark," BERLIN (Reuters) - Nihan Sen s grandmother came to Germany in the 1960s but still speaks no German. By contrast, Nihan herself is a star of German youth culture, with 783,000 followers for her YouTube channel. Yet she acknowledges:  I really do like a bit of Turkish television.   She is not alone. Turkish broadcasters have an 84 percent market share among Germany s three million people of Turkish background, and 40 percent of them watch no German television at all, according to market researcher Data4U.  As a captive audience of television broadcast from Ankara, Germany s Turkish citizens are caught in a tug-of-war for their loyalty ahead of a German national election on Sept. 24.  Turkey s president, Tayyip Erdogan, has called on German voters of Turkish background to reject Germany s mainstream political parties, saying they are  unfriendly to Turkey .  The parties worry that Erdogan has more access to Turkish-speaking German voters than they do.  Green Party co-leader Cem Ozdemir, the most prominent German politician of Turkish descent, has called for Germany s public media to start broadcasting a Turkish channel for the benefit of Turks, both in Germany and in Turkey.   We need a German-Turkish broadcaster,  he told the Rheinische Post newspaper in March.  For years we ve neglected to help people from Turkey find a new political homeland, also politically, and now we re seeing the fruits of that.   Traditionally, Turks in Germany have voted mainly for the Social Democrats or the Greens, the main center-left parties, which are known for being friendly to immigrants. But Erdogan has repeatedly urged them instead to reject both those parties, as well as Merkel s ruling conservatives.  ""The majority, because they only watch Turkish TV, are informed very one-sidedly,"" said Joachim Schulte, head of Data 4U, which specializes in polling Germany's Turks. Schulte believes Erdogan's call could sway 300,000 votes -- a quarter of the Germans of Turkish descent who are eligible to vote.  For now, voters of Turkish descent who turn away from the Social Democrats and Greens have few other choices. Schulte said those who become disaffected are more likely to stay home than back rival parties. But that could still affect the outcome in an election that is likely to be hard fought for every vote.  A change in Germany s citizenship law in 2000 means the number of ethnic Turks with the right to vote has nearly doubled over the past decade, increasing their importance as a bloc. Polls show most Turks in Germany backed Erdogan when voting as expatriates in Turkish elections.  For Erdogan, having influence over voters in Germany provides a chance to settle scores with German politicians he sees as enemies, while burnishing his credentials at home as a defender of Turks everywhere.  Germany s mainstream parties have been outspoken critics of Turkey s crackdown since a failed coup last year, in which thousands of Turks have been jailed, including around a dozen who hold German citizenship. Turkey also demands that Germany hand over asylum seekers it accuses of involvement in the coup.  For the Social Democrats and Greens, losing the Turkish vote poses a real risk: even a small swing could weaken them in potential talks with the conservatives about setting up a government after the vote.  In recent weeks, a new party, the Alliance of German Democrats, led by ethnic Turks, has campaigned with a poster of Erdogan.  Friends of Turkey,  it reads.  Stand with them!   So far the new party is polling below one percent nationally and fielding candidates only in North Rhine-Westphalia, the big Western state home to more than a fifth of Germany s population.  The national prospects for a minority ethnic party may be limited in a country with a 5 percent threshold to win seats, but a party appealing directly to Turks could undermine the bigger parties.   Our poster was a quote from Erdogan: he was criticizing German politics and saying we should vote for parties that are our friends,  said party spokesman Ertan Toker.  Unlike the other German parties that are always negative about Erdogan, we are not. We saw this as him encouraging us to vote.   Among the causes the new party has taken up: making it easier for ethnic Turks in Germany, most of whom still don t have the right to vote, to gain it. That struck a chord for Rascha, a 17-year-old Turkish girl in Duisburg, North Rhine-Westphalia.   I was born here and I still don t have a German passport,  she said.  The process for getting one is long and bureaucratic. There s a new party that wants to give all permanent residents voting rights.   Turkish community leaders from the big political parties say Erdogan s interventions into German politics are undoing decades of work on promoting integration.   The political climate is poisoned by this,  said Cansel Kiziltepe, Social Democrat parliamentary candidate in Berlin s multi-ethnic Kreuzberg district, where the Social Democrats, Greens and conservatives are all fielding candidates with Turkish roots.  President Erdogan has torn down what we have built up over decades.    We get threats, e-mails as ethnic Turkish lawmakers saying we aren t sufficiently loyal as  Turks ,  Kiziltepe said.  But I am a German politician and I do politics for Germany and for all people who live here.   Timur Husein of Merkel s Christian Democratic Union was categorical about his loyalties:  I am German, only German,  said the son of a Turkish father and a Croatian mother.  For YouTube personality Nihan, who confessed her passion for Turkish TV during an interview with Social Democrat leader Martin Schulz, the worry was that some Turks would end up alienated from wider German society.   What can we do to stop parallel societies from emerging?  she asked Schulz.  Schulz was reassuring. ""It's not bad, or even hard, to have two identities. Why should you deny your roots?""  ",worldnews,"September 13, 2017 "
19,Trump's expected VP pick: coal advocate who defied Obama's climate agenda,"WASHINGTON/NEW YORK (Reuters) - Republican Donald Trump’s selection of Indiana Governor Mike Pence as his running mate cheered the U.S. energy industry and dismayed green advocates, with both sides citing Pence’s support for coal mining and defiance of President Barack Obama’s climate-change agenda. Trump, the presumptive Republican presidential nominee, has called climate change a hoax and promised to gut U.S. environmental regulations in order to help the ailing oil and coal sectors. A Trump-Pence ticket will quash any expectation that the New York businessman might soften that stance heading into the Nov. 8 election. “Governor Pence has been a vocal opponent of the administration’s Clean Power Plan,” said Laura Sheehan, spokeswoman for the Washington-based lobby group American Council on Clean Coal Electricity.   “We would hope to see a continuation,” she said. Trump announced Pence as his running mate in a Twitter post on Friday morning, ending days of speculation over the choice ahead of the party’s national convention in Cleveland next week. [nL1N1A10HR] Pence, 57, is listed on Obama’s “call out the climate change deniers” website for arguing that the science behind climate change has not yet been resolved. In June 2015, Pence wrote to Obama saying that Indiana, America’s eighth largest coal-producing state, would not comply with the Clean Power Plan regulating power plant emissions, calling it “ill-advised.” Indiana is one of more than 25 states that have challenged the centerpiece of the Democratic president’s environmental agenda. In 2014, Pence alarmed local environmental groups by overturning an energy efficiency program enacted by his Republican predecessor, Mitch Daniels, saying it was too expensive for the state’s manufacturers. The Indiana Public Utility Commission had estimated the program would create more than 18,600 jobs. “The choice of Pence shows Trump has little interest in appealing to anyone outside of his extremist base and Big Polluters,” said Clay Schroers, a director at the League of Conservation Voters environmental group.     Trump has long signaled his support of traditional energy production - part of his broader appeal to blue-collar American voters.  He outlined plans in May to sweep away environmental regulations ushered in by Obama, scrap the Paris Climate Accord, and revive the Keystone XL pipeline proposal – moves that would reverse years of gains by the green movement. Trump’s Democratic rival, Hillary Clinton, in contrast, has promised more stringent regulation of the energy sector, efforts to boost renewable fuels use, and a commitment to join other nations to combat global climate change. Pence ran for governor in 2012 after serving in the U.S. Congress. His campaign for governor received more than $850,000 from the energy sector, about 3 percent of the total, according to campaign finance disclosures. More than $300,000 of that came from the billionaire Koch brothers, strong advocates of small government and fiscal conservatism who took a liking to Pence. Both David and Charles Koch have said they will not support the Trump ticket. Trump has alarmed many Republican establishment figures with his fiery rhetoric on immigration and trade.  But a former high-ranking operative in the Koch political organization who is close to both brothers said Pence could help make the donor network more receptive to Trump’s campaign. ",politicsNews,"July 14, 2016 "
